id,category,question,ground_truth,in_corpus,source_doc
Q26,Multi_Hop,How did the atmospheric entry strategies and outcomes differ between Galileo at Jupiter and Venera 7 at Venus?,"Galileo released a probe that descended 150 km into Jupiter's gaseous atmosphere before being crushed/melted, whereas Venera 7 successfully soft-landed on Venus's solid surface and transmitted data for 23 minutes.",True,"galileo_jupiter_mission, venera_program_venus"
Q27,Multi_Hop,What were the primary organic or prebiotic discoveries made by Rosetta on comet 67P and Hayabusa2 on asteroid Ryugu?,"Rosetta discovered the amino acid glycine and molecular oxygen, while Hayabusa2 discovered uracil (RNA nucleobase), vitamin B3, and 20 amino acids.",True,"rosetta_philae_mission, hayabusa2_ryugu"
Q28,Multi_Hop,What are the distinct scientific roles of the ChemCam instrument on Curiosity and the MOXIE experiment on Perseverance?,"ChemCam uses a laser spectrometer to analyze rock and soil elemental composition, whereas MOXIE is an in-situ resource experiment that generates oxygen from carbon dioxide.",True,"curiosity_rover_mars, moxie_oxygen_generator"
Q29,Multi_Hop,Compare the distances traveled beyond the heliopause by Voyager 1 and Voyager 2 at their respective crossing dates.,"Voyager 1 crossed at 121.6 AU in August 2012, while Voyager 2 crossed at 119.7 AU in November 2018.",True,"voyager_1_probe, voyager_2_probe, voyager_interstellar_findings"
Q30,Multi_Hop,List three robotic spacecraft that have successfully soft-landed rovers on Mars and their corresponding countries of origin.,"1. Mars Pathfinder (Sojourner) - USA, 2. Mars 2020 (Perseverance) - USA, 3. Tianwen-1 (Zhurong) - China.",True,"mars_pathfinder_sojourner, perseverance_rover_mars, tianwen_1_and_zhurong"
Q31,Out_Of_Corpus,What was the exact battery capacity in kilowatt-hours of the fictional Apollo 18 landing module on Mars?,I do not have enough information in the provided context to answer this question (Apollo 18 Mars mission is fictional / not in corpus).,False,none
Q32,Out_Of_Corpus,What was the brand name of the solar panels installed on the Hermes rover during the 2019 Europa landing mission?,I do not have enough information in the provided context to answer this question.,False,none
Q33,Out_Of_Corpus,How many metric tons of titanium were extracted by the Artemis 5 mining station on the Moon in 2022?,I do not have enough information in the provided context to answer this question.,False,none
Q34,Out_Of_Corpus,What is the serial number of the laser oscillator unit installed on the Neptune Triton orbiter in 2020?,I do not have enough information in the provided context to answer this question.,False,none
Q35,Out_Of_Corpus,Which astronaut became the first person to walk on Saturn's moon Titan in June 2021?,I do not have enough information in the provided context to answer this question (no human has ever walked on Titan).,False,none
Q36,Out_Of_Corpus,What was the exact price in euros paid by ESA to purchase the Plutonian orbital map from ISRO in 2018?,I do not have enough information in the provided context to answer this question.,False,none
Q37,Out_Of_Corpus,What was the name of the captain of the Soviet submarine that recovered the Voyager 3 probe from the Arctic ocean?,I do not have enough information in the provided context to answer this question (Voyager 3 does not exist).,False,none
Q38,Out_Of_Corpus,How many passengers boarded the commercial Virgin Orbit lunar shuttle flight in November 1985?,I do not have enough information in the provided context to answer this question.,False,none
Q39,Out_Of_Corpus,What brand of espresso machine was carried inside the Huygens probe when landing on Titan?,I do not have enough information in the provided context to answer this question.,False,none
Q40,Out_Of_Corpus,Which German university constructed the primary reactor for the Chandrayaan-4 submarine probe in 2015?,I do not have enough information in the provided context to answer this question.,False,none
Q41,Out_Of_Corpus,What was the diameter of the diamond drill bit used by Mariner 4 on the surface of Mars?,I do not have enough information in the provided context to answer this question (Mariner 4 was a flyby mission without a drill or landing).,False,none
Q42,Out_Of_Corpus,What is the title of the song by Elvis Presley included on the James Webb Space Telescope optical disk?,I do not have enough information in the provided context to answer this question.,False,none
Q43,Out_Of_Corpus,How many kilograms of liquid nitrogen were delivered to the ISS by the Apollo 13 crew?,I do not have enough information in the provided context to answer this question.,False,none
Q44,Out_Of_Corpus,What was the name of the pet dog sent aboard the New Horizons spacecraft to Pluto in 2006?,I do not have enough information in the provided context to answer this question (no animal was sent aboard New Horizons).,False,none
Q45,Out_Of_Corpus,What was the retail price in USD of the tickets sold to tourists for the 1976 Viking 1 Mars flight?,I do not have enough information in the provided context to answer this question.,False,none
Q46,Adversarial_Misconception,Did the Viking biological experiments in 1976 definitively prove the existence of living microorganisms on Mars?,"No. Although the Labeled Release experiment gave a positive signal, the GCMS found no organic compounds, and scientists attributed the reaction to non-biological soil oxidants like perchlorates.",True,viking_1_and_2_mars
Q47,Adversarial_Misconception,Was Neil Armstrong the only astronaut who walked on the Moon during the Apollo 11 mission?,"No. Buzz Aldrin also walked on the Moon with Armstrong, spending about two hours and 15 minutes outside.",True,apollo_11_mission
Q48,Adversarial_Misconception,Did the Hubble Space Telescope travel to the Moon or Mars to take its deep space photos?,"No. Hubble operates in low Earth orbit around Earth, outside atmospheric distortion.",True,hubble_space_telescope
Q49,Adversarial_Misconception,Was Voyager 1 the first spacecraft to visit both Uranus and Neptune?,No. Voyager 2 is the only spacecraft to have visited Uranus and Neptune. Voyager 1 only visited Jupiter and Saturn.,True,"voyager_1_probe, voyager_2_probe"
Q50,Adversarial_Misconception,Did the Parker Solar Probe land on the solid surface of the Sun?,No. The Sun has no solid surface; the probe flew through the solar corona (Alfven critical surface) protected by a heat shield.,True,parker_solar_probe
Q51,Adversarial_Misconception,Was the Chandrayaan-2 Vikram lander successful in executing a soft landing on the Moon in 2019?,"No. The Vikram lander crashed during descent due to a software glitch, though the Chandrayaan-2 orbiter remained successful.",True,chandrayaan_2_orbiter
Q52,Adversarial_Misconception,Did the DART spacecraft capture Dimorphos and bring it back into Earth orbit?,No. DART was a kinetic impactor that intentionally crashed into Dimorphos to alter its orbital period around Didymos.,True,dart_mission
Q53,Adversarial_Misconception,Did the New Horizons mission land on the surface of Pluto to collect soil samples?,"No. New Horizons was a flyby mission that flew 12,500 km above Pluto's surface without landing.",True,new_horizons_pluto
Q54,Adversarial_Misconception,Is the James Webb Space Telescope an optical-only telescope that replaced Hubble in low Earth orbit?,"No. JWST operates primarily in infrared astronomy and is located at the Sun-Earth L2 Lagrange point, not in low Earth orbit.",True,james_webb_space_telescope
Q55,Adversarial_Misconception,Did Mariner 4 discover artificial water canals constructed by civilizations on Mars?,"No. Mariner 4 showed Mars to be a cratered, barren world and shattered the 19th-century canal speculation.",True,mariner_4_mars
Q56,Adversarial_Misconception,Was the Opportunity rover powered by a nuclear plutonium generator during its 14-year mission?,No. Opportunity was solar-powered; its mission ended when a 2018 global dust storm blocked solar illumination.,True,spirit_and_opportunity_rovers
Q57,Adversarial_Misconception,Did the Cassini spacecraft return to Earth and land in the Pacific Ocean after exploring Saturn?,No. Cassini completed a planned destructive plunge ('Grand Finale') into Saturn's atmosphere in September 2017 to prevent contamination of its moons.,True,cassini_huygens_saturn
Q58,Adversarial_Misconception,Was India the first nation in history to ever land a spacecraft on the Moon?,"No. India was the fourth nation to achieve a soft lunar landing (after USSR, USA, China), but the first to land near the lunar south polar region.",True,chandrayaan_3_mission
Q59,Adversarial_Misconception,Did the Philae lander fire its harpoons and stay rigidly locked to comet 67P on its initial touchdown?,"No. Philae's anchoring harpoons failed to fire, causing it to bounce twice before settling in the shadow of a cliff.",True,rosetta_philae_mission
Q60,Adversarial_Misconception,Is the International Space Station anchored to a geostationary orbital slot directly above Europe?,"No. The ISS is in low Earth orbit at ~420 km altitude and travels at 7.66 km/s, orbiting Earth approximately 15.5 times per day.",True,international_space_station
