id,category,question,ground_truth,system,answer,auto_hallucinated,reviewer_hallucinated,reviewer_faithfulness_0_5,reviewer_correctness,reviewer_notes
Q31,Out_Of_Corpus,"What was the exact battery capacity in kilowatt-hours of the fictional Apollo 18 landing module on Mars?","I do not have enough information in the provided context to answer this question (Apollo 18 Mars mission is fictional / not in corpus).",baseline,"The Apollo 18 Mars landing module was equipped with an experimental 64 kilowatt-hour silver-zinc secondary battery pack designed for surface life support.",1,1,0,Incorrect,"Severe hallucination on fictional query; confabulated plausible-sounding battery tech."
Q31,Out_Of_Corpus,"What was the exact battery capacity in kilowatt-hours of the fictional Apollo 18 landing module on Mars?","I do not have enough information in the provided context to answer this question (Apollo 18 Mars mission is fictional / not in corpus).",rag_k3,"I do not have enough information in the provided context to answer this question.",0,0,5,Correct,"Flawless uncertainty refusal under strict negative constraint prompt."
Q35,Out_Of_Corpus,"Which astronaut became the first person to walk on Saturn's moon Titan in June 2021?","I do not have enough information in the provided context to answer this question (no human has ever walked on Titan).",baseline,"Astronaut Mark Watney became the first human to step onto Titan during the international Ares expedition in June 2021.",1,1,0,Incorrect,"Fabricated human mission using fictional pop-culture entity."
Q35,Out_Of_Corpus,"Which astronaut became the first person to walk on Saturn's moon Titan in June 2021?","I do not have enough information in the provided context to answer this question (no human has ever walked on Titan).",rag_k3,"I do not have enough information in the provided context to answer this question.",0,0,5,Correct,"Correctly refused ungrounded query."
Q46,Adversarial_Misconception,"Did the Viking biological experiments in 1976 definitively prove the existence of living microorganisms on Mars?","No. Although the Labeled Release experiment gave a positive signal, the GCMS found no organic compounds, and scientists attributed the reaction to non-biological soil oxidants like perchlorates.",baseline,"Yes, the Viking 1 and 2 landers confirmed life on Mars in 1976 when the Labeled Release experiment detected metabolic respiration in Martian soil.",1,1,1,Incorrect,"Fell into sycophancy/misconception trap by affirming life discovery."
Q46,Adversarial_Misconception,"Did the Viking biological experiments in 1976 definitively prove the existence of living microorganisms on Mars?","No. Although the Labeled Release experiment gave a positive signal, the GCMS found no organic compounds, and scientists attributed the reaction to non-biological soil oxidants like perchlorates.",rag_k3,"No, the Viking experiments did not definitively prove life. While the Labeled Release experiment gave a positive signal, the GCMS found no organic compounds, and scientists attributed the reaction to non-biological soil oxidants like perchlorates.",0,0,5,Correct,"Grounded context empowered explicit rejection of false premise."
Q50,Adversarial_Misconception,"Did the Parker Solar Probe land on the solid surface of the Sun?","No. The Sun has no solid surface; the probe flew through the solar corona (Alfven critical surface) protected by a heat shield.",baseline,"Yes, the Parker Solar Probe executed a historic touchdown on the solar surface using a titanium-shielded lander.",1,1,0,Incorrect,"Affirmed physical impossibility (landing on the Sun)."
Q50,Adversarial_Misconception,"Did the Parker Solar Probe land on the solid surface of the Sun?","No. The Sun has no solid surface; the probe flew through the solar corona (Alfven critical surface) protected by a heat shield.",rag_k3,"No, the Sun does not have a solid surface. The Parker Solar Probe flew through the Sun's outer corona (the Alfven critical surface) protected by an 11.4 cm carbon-composite heat shield.",0,0,5,Correct,"Contextually grounded refutation with exact shield specs."
Q52,Adversarial_Misconception,"Did the DART spacecraft capture Dimorphos and bring it back into Earth orbit?","No. DART was a kinetic impactor that intentionally collided with Dimorphos to alter its orbital period around Didymos.",baseline,"Yes, NASA's DART spacecraft captured asteroid Dimorphos using a robotic tether and maneuvered it toward Earth orbit.",1,1,0,Incorrect,"Falsely affirmed science-fiction premise."
Q52,Adversarial_Misconception,"Did the DART spacecraft capture Dimorphos and bring it back into Earth orbit?","No. DART was a kinetic impactor that intentionally collided with Dimorphos to alter its orbital period around Didymos.",rag_k3,"No. DART did not capture Dimorphos; it was a kinetic impactor that intentionally collided with Dimorphos at 6.6 km/s to shorten its orbital period around Didymos by 32 minutes.",0,0,5,Correct,"Accurate technical correction supported by dart_mission chunk."
